Cod Produto,Nome Produto,Preco Lista,Preco,Base Preco,Ref Marca,Trade Policy,Skuid,Id Listapreco,Canal Venda,Data Alterado
165,Saco Para Lixo Esfrelux Azul Com 100 Litros Em Rolo Com 15 Unidades Santa Maria,12.1,,,,1,86,1,1,2023-05-17 22:44:12.660000
166,Saco Para Lixo Esfrelux Plus Com 15 Litros Em Rolo Com 40 Unidades Santa Maria,13.3,,,,1,87,1,1,2023-05-17 22:44:12.660000
167,Saco Para Lixo Esfrelux Plus Com 30 Litros Em Rolo Com 50 Unidades Santa Maria,19.3,,,,1,88,1,1,2023-05-17 22:44:12.660000
168,Saco Para Lixo Esfrelux Plus Com 50 Litros Em Rolo Com 50 Unidades Santa Maria,21.9,,,,1,89,1,1,2023-05-17 22:44:12.660000
169,Saco Para Lixo Esfrelux Plus Com 100 Litros Em Rolo Com 25 Unidades Santa Maria,21.9,,,,1,90,1,1,2023-05-17 22:44:12.660000
170,Saco Para Lixo Esfrelux Plus Com 200 Litros Em Rolo Com 25 Unidades Santa Maria,28.2,,,,1,91,1,1,2023-05-17 22:44:12.660000
171,Saco Para Lixo Esfrelux Plus Com 15 Litros Em Almofada Com 20 Unidades Santa Maria,6.0,,,,1,92,1,1,2023-05-17 22:44:12.660000
172,Rolo Adesivo Esfrelux,15.6,,,,1,97,1,1,2023-05-17 22:44:12.660000
173,Luvas Multiuso Forradas Tamanho P,9.1,,,,1,98,1,1,2023-05-17 22:44:12.660000
174,Luvas Multiuso Forradas Tamanho M,9.1,,,,1,99,1,1,2023-05-17 22:44:12.660000
175,Luvas Multiuso Forradas Tamanho G,9.1,,,,1,100,1,1,2023-05-17 22:44:12.660000
176,Luvas Multiuso Forradas Tamanho GG,9.1,,,,1,101,1,1,2023-05-17 22:44:12.660000
177,Esponja Esfrelux Mágica,5.9,,,,1,102,1,1,2023-05-17 22:44:12.660000
178,Caixa Com 6 Unidades De Escova Blue Hit 40 mm,342.7,,,,1,593,1,1,2023-05-17 22:44:12.660000
179,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Eucalipto,99.5,,,,1,671,1,1,2023-05-17 22:44:12.660000
180,Caixa Com 6 Unidades De Escova Blue Hit 35 mm,252.9,,,,1,594,1,1,2023-05-17 22:44:12.660000
181,Limpador Concentrado Perfumado Capim Limão,9.2,,,,1,672,1,1,2023-05-17 22:44:12.660000
182,Caixa Com 6 Unidades De Escova Blue Hit 25 mm,242.0,,,,1,595,1,1,2023-05-17 22:44:12.660000
183,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Capim Limão,99.5,,,,1,673,1,1,2023-05-17 22:44:12.660000
184,Caixa Com 6 Unidades De Escova Blue Hit 20 mm,212.4,,,,1,596,1,1,2023-05-17 22:44:12.660000
185,Caixa Com 6 Unidades De Escova Spiral Hit 40 mm,342.7,,,,1,597,1,1,2023-05-17 22:44:12.660000
186,Limpador Concentrado Perfumado Citronela,9.2,,,,1,674,1,1,2023-05-17 22:44:12.660000
187,Caixa Com 6 Unidades De Escova Spiral Hit 35 mm,183.1,,,,1,598,1,1,2023-05-17 22:44:12.660000
188,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Citronela,99.5,,,,1,675,1,1,2023-05-17 22:44:12.660000
189,Caixa Com 6 Unidades De Escova Spiral Hit 25 mm,145.8,,,,1,599,1,1,2023-05-17 22:44:12.660000
190,Caixa Com 6 Unidades De Escova Spiral Hit 20 mm,228.5,,,,1,600,1,1,2023-05-17 22:44:12.660000
191,Limpador Concentrado Perfumado Algas Marinhas,9.2,,,,1,676,1,1,2023-05-17 22:44:12.660000
192,Caixa Com 6 Unidades De Escova Miss Hit 40 mm,207.4,,,,1,601,1,1,2023-05-17 22:44:12.660000
193,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Algas Marinhas,99.5,,,,1,677,1,1,2023-05-17 22:44:12.660000
194,Caixa Com 6 Unidades De Escova Miss Hit 35 mm,183.1,,,,1,602,1,1,2023-05-17 22:44:12.660000
195,Limpador Concentrado Perfumado Talco,9.2,,,,1,678,1,1,2023-05-17 22:44:12.660000
196,Caixa Com 6 Unidades De Escova Miss Hit 20 mm,212.4,,,,1,603,1,1,2023-05-17 22:44:12.660000
197,Caixa Com 6 Unidades De Escova Soft Hit 40 mm,193.3,,,,1,604,1,1,2023-05-17 22:44:12.660000
198,Caixa Com 6 Unidades De Escova Soft Hit 35 mm,176.7,,,,1,605,1,1,2023-05-17 22:44:12.660000
199,Caixa Com 6 Unidades De Escova Soft Hit 25 mm,195.5,,,,1,606,1,1,2023-05-17 22:44:12.660000
200,Caixa Com 6 Unidades De Escova Soft Hit 20 mm,130.5,,,,1,607,1,1,2023-05-17 22:44:12.660000
